"user","number_of_classifications","user_f1_score","useful_image_count"
355,6567,1,6563
111,5722,1,684
332,85,1,11
141,30,0.974874371859296,2
350,501,0.965660770031217,35
30,2366,0.961789679947747,88
250,1458,0.954507857733664,26
377,69,0.949232585596222,5
176,71,0.942465753424658,6
246,134,0.941279579316389,40
207,340,0.933700275206405,2
363,129,0.916330063473745,3
187,78,0.914826498422713,2
319,549,0.904383144356067,101
362,133,0.903529411764706,22
281,3058,0.898354894416336,222
161,72,0.896860986547085,1
271,25,0.895705521472393,1
351,126,0.895637769188294,2
52,1818,0.881623449830891,4
327,203,0.850293984622343,2
173,46,0.832116788321168,4
199,30,0.64,4
